t_rel_s,phase,mv,ma,watt,temp_max_c
11.716,warmup,4968.0,1336.0,6.6372,60.19
11.817,warmup,4968.0,1344.0,6.6770,60.19
11.917,warmup,4968.0,1352.0,6.7167,60.16
12.017,warmup,4968.0,1352.0,6.7167,60.16
12.117,warmup,4968.0,1344.0,6.6770,60.38
12.217,warmup,4968.0,1344.0,6.6770,60.25
12.317,warmup,4968.0,1352.0,6.7167,60.25
12.417,warmup,4968.0,1344.0,6.6770,60.22
12.517,warmup,4968.0,1344.0,6.6770,60.28
12.618,warmup,4968.0,1344.0,6.6770,60.25
12.718,warmup,4968.0,1352.0,6.7167,60.25
12.818,warmup,4968.0,1352.0,6.7167,60.19
12.918,warmup,4968.0,1344.0,6.6770,60.22
13.018,warmup,4968.0,1352.0,6.7167,60.38
13.118,warmup,4968.0,1360.0,6.7565,60.31
13.218,warmup,4968.0,1352.0,6.7167,60.25
13.319,warmup,4968.0,1344.0,6.6770,60.31
13.419,warmup,4968.0,1344.0,6.6770,60.28
13.519,warmup,4968.0,1352.0,6.7167,60.25
13.619,warmup,4968.0,1352.0,6.7167,60.25
13.719,warmup,4968.0,1352.0,6.7167,60.22
13.819,warmup,4968.0,1344.0,6.6770,60.28
13.919,warmup,4968.0,1352.0,6.7167,60.38
14.020,warmup,4968.0,1360.0,6.7565,60.34
14.120,warmup,4968.0,1352.0,6.7167,60.28
14.220,warmup,4968.0,1344.0,6.6770,60.31
14.320,warmup,4968.0,1352.0,6.7167,60.22
14.420,warmup,4968.0,1352.0,6.7167,60.25
14.520,warmup,4968.0,1336.0,6.6372,60.31
14.620,warmup,4968.0,1344.0,6.6770,60.31
14.721,warmup,4968.0,1344.0,6.6770,60.28
14.821,warmup,4968.0,1336.0,6.6372,60.38
14.921,warmup,4968.0,1336.0,6.6372,60.41
15.021,warmup,4968.0,1344.0,6.6770,60.38
15.121,warmup,4968.0,1344.0,6.6770,60.28
15.221,warmup,4968.0,1336.0,6.6372,60.31
15.321,warmup,4968.0,1344.0,6.6770,60.34
15.421,warmup,4968.0,1344.0,6.6770,60.28
15.522,warmup,4968.0,1336.0,6.6372,60.25
15.622,warmup,4968.0,1344.0,6.6770,60.38
15.722,warmup,4968.0,1352.0,6.7167,60.41
15.822,warmup,4968.0,1344.0,6.6770,60.44
15.922,warmup,4968.0,1344.0,6.6770,60.31
16.022,warmup,4968.0,1344.0,6.6770,60.31
16.122,warmup,4968.0,1352.0,6.7167,60.31
16.223,warmup,4968.0,1352.0,6.7167,60.28
16.323,warmup,4968.0,1344.0,6.6770,60.31
16.423,warmup,4968.0,1344.0,6.6770,60.28
16.523,warmup,4968.0,1352.0,6.7167,60.28
16.623,warmup,4968.0,1352.0,6.7167,60.47
16.723,warmup,4968.0,1352.0,6.7167,60.47
16.823,warmup,4968.0,1352.0,6.7167,60.38
16.924,warmup,4968.0,1352.0,6.7167,60.38
17.024,warmup,4968.0,1352.0,6.7167,60.44
17.124,warmup,4968.0,1360.0,6.7565,60.31
17.224,warmup,4968.0,1352.0,6.7167,60.31
17.324,warmup,4968.0,1352.0,6.7167,60.19
17.424,warmup,4968.0,1352.0,6.7167,60.34
17.524,warmup,4968.0,1352.0,6.7167,60.47
17.625,warmup,4968.0,1344.0,6.6770,60.44
17.725,warmup,4968.0,1344.0,6.6770,60.41
17.825,warmup,4968.0,1352.0,6.7167,60.38
17.925,warmup,4968.0,1344.0,6.6770,60.31
18.025,warmup,4968.0,1344.0,6.6770,60.34
18.125,warmup,4968.0,1352.0,6.7167,60.31
18.225,warmup,4968.0,1344.0,6.6770,60.38
18.325,warmup,4968.0,1336.0,6.6372,60.28
18.426,warmup,4968.0,1344.0,6.6770,60.50
18.526,warmup,4968.0,1352.0,6.7167,60.44
18.626,warmup,4968.0,1344.0,6.6770,60.50
18.726,warmup,4968.0,1344.0,6.6770,60.38
18.826,warmup,4968.0,1344.0,6.6770,60.41
18.926,warmup,4968.0,1344.0,6.6770,60.38
19.026,warmup,4968.0,1336.0,6.6372,60.38
19.127,warmup,4968.0,1352.0,6.7167,60.41
19.227,warmup,4968.0,1352.0,6.7167,60.53
19.327,warmup,4968.0,1352.0,6.7167,60.47
19.427,warmup,4968.0,1344.0,6.6770,60.41
19.527,warmup,4968.0,1352.0,6.7167,60.44
19.627,warmup,4968.0,1360.0,6.7565,60.44
19.727,warmup,4968.0,1352.0,6.7167,60.41
19.828,warmup,4968.0,1352.0,6.7167,60.38
19.928,warmup,4968.0,1352.0,6.7167,60.38
20.028,warmup,4968.0,1352.0,6.7167,60.34
20.128,warmup,4968.0,1352.0,6.7167,60.38
20.228,warmup,4968.0,1344.0,6.6770,60.50
20.328,warmup,4968.0,1352.0,6.7167,60.53
20.428,warmup,4968.0,1344.0,6.6770,60.50
20.529,warmup,4968.0,1336.0,6.6372,60.38
20.629,warmup,4968.0,1344.0,6.6770,60.47
20.729,warmup,4968.0,1352.0,6.7167,60.41
20.829,warmup,4968.0,1344.0,6.6770,60.38
20.929,warmup,4968.0,1344.0,6.6770,60.41
21.029,warmup,4968.0,1352.0,6.7167,60.41
21.129,warmup,4968.0,1344.0,6.6770,60.56
21.230,warmup,4968.0,1344.0,6.6770,60.50
21.330,warmup,4968.0,1352.0,6.7167,60.50
21.430,warmup,4968.0,1352.0,6.7167,60.50
21.530,warmup,4968.0,1352.0,6.7167,60.47
21.630,warmup,4968.0,1344.0,6.6770,60.44
21.730,warmup,4968.0,1352.0,6.7167,60.41
21.830,warmup,4968.0,1360.0,6.7565,60.38
21.931,warmup,4968.0,1352.0,6.7167,60.38
22.031,warmup,4968.0,1352.0,6.7167,60.38
22.131,warmup,4968.0,1352.0,6.7167,60.66
22.231,warmup,4968.0,1360.0,6.7565,60.59
22.331,warmup,4968.0,1352.0,6.7167,60.47
22.431,warmup,4968.0,1352.0,6.7167,60.50
22.531,warmup,4968.0,1352.0,6.7167,60.41
22.632,warmup,4968.0,1360.0,6.7565,60.41
22.732,warmup,4968.0,1352.0,6.7167,60.47
22.832,warmup,4968.0,1352.0,6.7167,60.44
22.932,warmup,4968.0,1352.0,6.7167,60.38
23.032,warmup,4968.0,1360.0,6.7565,60.66
23.132,warmup,4968.0,1352.0,6.7167,60.53
23.232,warmup,4968.0,1352.0,6.7167,60.50
23.332,warmup,4968.0,1352.0,6.7167,60.50
23.433,warmup,4968.0,1352.0,6.7167,60.44
23.533,warmup,4968.0,1344.0,6.6770,60.41
23.633,warmup,4968.0,1344.0,6.6770,60.41
23.733,warmup,4968.0,1352.0,6.7167,60.44
23.833,warmup,4968.0,1344.0,6.6770,60.44
23.933,warmup,4968.0,1344.0,6.6770,60.66
24.033,warmup,4968.0,1352.0,6.7167,60.69
24.134,warmup,4968.0,1344.0,6.6770,60.47
24.234,warmup,4968.0,1344.0,6.6770,60.50
24.334,warmup,4968.0,1352.0,6.7167,60.44
24.434,warmup,4968.0,1352.0,6.7167,60.44
24.534,warmup,4968.0,1352.0,6.7167,60.44
24.634,warmup,4968.0,1344.0,6.6770,60.50
24.734,warmup,4968.0,1352.0,6.7167,60.41
24.835,warmup,4968.0,1360.0,6.7565,60.47
24.935,warmup,4968.0,1352.0,6.7167,60.59
25.035,warmup,4968.0,1352.0,6.7167,60.53
25.135,warmup,4968.0,1352.0,6.7167,60.50
25.235,warmup,4968.0,1360.0,6.7565,60.53
25.335,warmup,4968.0,1360.0,6.7565,60.56
25.436,warmup,4968.0,1352.0,6.7167,60.44
25.536,warmup,4968.0,1352.0,6.7167,60.44
25.636,warmup,4968.0,1360.0,6.7565,60.50
25.736,warmup,4968.0,1360.0,6.7565,60.47
25.836,warmup,4968.0,1360.0,6.7565,60.59
25.936,warmup,4968.0,1352.0,6.7167,60.66
26.036,warmup,4968.0,1352.0,6.7167,60.53
26.136,warmup,4968.0,1360.0,6.7565,60.62
26.237,warmup,4968.0,1352.0,6.7167,60.59
26.337,warmup,4968.0,1352.0,6.7167,60.53
26.437,warmup,4968.0,1352.0,6.7167,60.53
26.537,warmup,4968.0,1360.0,6.7565,60.47
26.637,warmup,4968.0,1360.0,6.7565,60.50
26.737,warmup,4968.0,1360.0,6.7565,60.69
26.837,warmup,4968.0,1352.0,6.7167,60.62
26.937,warmup,4968.0,1352.0,6.7167,60.69
27.038,warmup,4968.0,1352.0,6.7167,60.56
