t_rel_s,phase,mv,ma,watt,temp_max_c
11.716,warmup,4952.0,1760.0,8.7155,60.91
11.816,warmup,4952.0,1760.0,8.7155,60.81
11.917,warmup,4952.0,1760.0,8.7155,60.66
12.017,warmup,4952.0,1744.0,8.6363,60.69
12.117,warmup,4952.0,1752.0,8.6759,60.59
12.217,warmup,4944.0,1776.0,8.7805,60.78
12.317,warmup,4944.0,1768.0,8.7410,60.72
12.417,warmup,4952.0,1768.0,8.7551,60.69
12.518,warmup,4952.0,1752.0,8.6759,60.69
12.618,warmup,4952.0,1760.0,8.7155,60.66
12.718,warmup,4944.0,1784.0,8.8201,61.00
12.818,warmup,4952.0,1776.0,8.7948,60.91
12.918,warmup,4952.0,1768.0,8.7551,60.78
13.018,warmup,4952.0,1752.0,8.6759,60.72
13.118,warmup,4952.0,1768.0,8.7551,60.91
13.218,warmup,4952.0,1776.0,8.7948,60.81
13.319,warmup,4952.0,1768.0,8.7551,60.62
13.419,warmup,4952.0,1744.0,8.6363,60.88
13.519,warmup,4952.0,1760.0,8.7155,60.84
13.619,warmup,4952.0,1768.0,8.7551,60.69
13.719,warmup,4952.0,1760.0,8.7155,60.75
13.819,warmup,4952.0,1744.0,8.6363,60.84
13.919,warmup,4952.0,1752.0,8.6759,60.66
14.020,warmup,4952.0,1768.0,8.7551,60.69
14.120,warmup,4952.0,1760.0,8.7155,60.72
14.220,warmup,4952.0,1752.0,8.6759,60.66
14.320,warmup,4952.0,1752.0,8.6759,60.72
14.420,warmup,4952.0,1768.0,8.7551,60.72
14.520,warmup,4944.0,1776.0,8.7805,61.09
14.620,warmup,4952.0,1776.0,8.7948,60.97
14.721,warmup,4952.0,1768.0,8.7551,60.84
14.821,warmup,4952.0,1752.0,8.6759,60.91
14.921,warmup,4952.0,1776.0,8.7948,60.94
15.021,warmup,4944.0,1784.0,8.8201,60.94
15.121,warmup,4952.0,1784.0,8.8344,60.81
15.221,warmup,4952.0,1776.0,8.7948,60.97
15.322,warmup,4952.0,1760.0,8.7155,60.72
15.422,warmup,4952.0,1776.0,8.7948,60.72
15.522,warmup,4944.0,1792.0,8.8596,61.00
15.622,warmup,4944.0,1784.0,8.8201,60.91
15.722,warmup,4952.0,1784.0,8.8344,60.91
15.822,warmup,4952.0,1768.0,8.7551,60.81
15.922,warmup,4952.0,1768.0,8.7551,60.81
16.023,warmup,4944.0,1784.0,8.8201,60.91
16.123,warmup,4944.0,1784.0,8.8201,60.97
16.223,warmup,4944.0,1784.0,8.8201,61.12
16.323,warmup,4952.0,1768.0,8.7551,60.97
16.424,warmup,4952.0,1768.0,8.7551,60.84
16.524,warmup,4952.0,1776.0,8.7948,61.22
16.624,warmup,4952.0,1784.0,8.8344,61.16
16.724,warmup,4952.0,1776.0,8.7948,60.94
16.824,warmup,4952.0,1760.0,8.7155,60.88
16.924,warmup,4952.0,1760.0,8.7155,61.06
17.024,warmup,4944.0,1776.0,8.7805,60.91
17.124,warmup,4944.0,1792.0,8.8596,60.91
17.225,warmup,4944.0,1784.0,8.8201,61.03
17.325,warmup,4944.0,1776.0,8.7805,60.88
17.425,warmup,4952.0,1768.0,8.7551,61.09
17.525,warmup,4952.0,1776.0,8.7948,60.97
17.625,warmup,4944.0,1792.0,8.8596,61.28
17.725,warmup,4944.0,1784.0,8.8201,61.12
17.825,warmup,4944.0,1776.0,8.7805,60.94
17.926,warmup,4952.0,1760.0,8.7155,61.16
18.026,warmup,4944.0,1776.0,8.7805,61.09
18.126,warmup,4944.0,1792.0,8.8596,61.12
18.226,warmup,4944.0,1792.0,8.8596,60.97
18.326,warmup,4944.0,1784.0,8.8201,61.25
18.426,warmup,4952.0,1768.0,8.7551,61.06
18.527,warmup,4952.0,1776.0,8.7948,61.03
18.628,warmup,4944.0,1792.0,8.8596,61.06
18.728,warmup,4944.0,1800.0,8.8992,61.00
18.828,warmup,4944.0,1792.0,8.8596,61.09
18.928,warmup,4944.0,1824.0,9.0179,61.03
19.028,warmup,4944.0,1864.0,9.2156,61.03
19.128,warmup,4944.0,1920.0,9.4925,61.22
19.228,warmup,4944.0,1960.0,9.6902,61.16
19.329,warmup,4936.0,2000.0,9.8720,61.44
19.429,warmup,4936.0,2024.0,9.9905,61.44
19.529,warmup,4936.0,2064.0,10.1879,61.47
19.629,warmup,4936.0,2064.0,10.1879,61.72
19.729,warmup,4936.0,2032.0,10.0300,61.44
19.829,warmup,4936.0,2024.0,9.9905,61.28
19.930,warmup,4936.0,2016.0,9.9510,61.09
20.030,warmup,4936.0,2024.0,9.9905,61.47
20.130,warmup,4936.0,2032.0,10.0300,61.47
20.230,warmup,4944.0,1976.0,9.7693,61.31
20.330,warmup,4944.0,1928.0,9.5320,61.28
20.430,warmup,4944.0,1880.0,9.2947,61.12
20.531,warmup,4944.0,1872.0,9.2552,61.19
20.631,warmup,4944.0,1864.0,9.2156,61.31
20.731,warmup,4944.0,1840.0,9.0970,61.22
20.831,warmup,4944.0,1816.0,8.9783,61.34
20.931,warmup,4944.0,1800.0,8.8992,61.19
21.032,warmup,4944.0,1808.0,8.9388,61.41
21.132,warmup,4944.0,1808.0,8.9388,61.44
21.232,warmup,4944.0,1792.0,8.8596,61.34
21.332,warmup,4944.0,1784.0,8.8201,61.25
21.432,warmup,4944.0,1776.0,8.7805,61.28
21.533,warmup,4944.0,1792.0,8.8596,61.25
21.633,warmup,4944.0,1792.0,8.8596,61.25
21.733,warmup,4952.0,1784.0,8.8344,61.41
21.833,warmup,4952.0,1768.0,8.7551,61.12
21.933,warmup,4952.0,1776.0,8.7948,61.12
22.033,warmup,4944.0,1784.0,8.8201,61.34
22.133,warmup,4952.0,1784.0,8.8344,61.34
22.234,warmup,4952.0,1776.0,8.7948,61.34
