t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1144.0,5.6925,59.91
0.100,warmup,4976.0,1112.0,5.5333,59.91
0.200,warmup,4976.0,1072.0,5.3343,59.97
0.301,warmup,4984.0,1032.0,5.1435,59.91
0.401,warmup,4976.0,1136.0,5.6527,59.88
0.501,warmup,4976.0,1152.0,5.7324,60.00
0.601,warmup,4976.0,1168.0,5.8120,60.06
0.701,warmup,4976.0,1224.0,6.0906,60.00
0.801,warmup,4976.0,1184.0,5.8916,59.97
0.902,warmup,4976.0,1240.0,6.1702,59.94
1.002,warmup,4976.0,1232.0,6.1304,59.91
1.102,warmup,4976.0,1240.0,6.1702,59.91
1.202,warmup,4968.0,1280.0,6.3590,59.91
1.302,warmup,4976.0,1224.0,6.0906,59.91
1.402,warmup,4968.0,1272.0,6.3193,59.84
1.502,warmup,4968.0,1256.0,6.2398,60.03
1.602,warmup,4968.0,1256.0,6.2398,60.12
1.703,warmup,4968.0,1280.0,6.3590,59.97
1.803,warmup,4976.0,1240.0,6.1702,60.00
1.903,warmup,4968.0,1288.0,6.3988,59.91
2.003,warmup,4968.0,1264.0,6.2796,59.88
2.103,warmup,4968.0,1272.0,6.3193,59.91
2.203,warmup,4968.0,1304.0,6.4783,60.00
2.303,warmup,4976.0,1248.0,6.2100,60.09
2.404,warmup,4968.0,1288.0,6.3988,60.09
2.504,warmup,4968.0,1272.0,6.3193,60.06
2.604,warmup,4968.0,1272.0,6.3193,60.06
2.704,warmup,4968.0,1304.0,6.4783,59.97
2.804,warmup,4968.0,1248.0,6.2001,59.97
2.904,warmup,4968.0,1288.0,6.3988,60.03
3.004,warmup,4968.0,1280.0,6.3590,59.94
3.104,warmup,4968.0,1272.0,6.3193,59.97
3.205,warmup,4968.0,1296.0,6.4385,60.19
3.305,warmup,4968.0,1248.0,6.2001,60.12
3.405,warmup,4968.0,1296.0,6.4385,60.09
3.505,warmup,4968.0,1272.0,6.3193,60.09
3.605,warmup,4968.0,1272.0,6.3193,60.06
3.705,warmup,4968.0,1296.0,6.4385,60.00
3.805,warmup,4968.0,1248.0,6.2001,59.97
3.906,warmup,4968.0,1288.0,6.3988,59.97
4.006,warmup,4968.0,1272.0,6.3193,59.94
4.106,warmup,4968.0,1272.0,6.3193,60.22
4.206,warmup,4968.0,1304.0,6.4783,60.16
4.306,warmup,4968.0,1248.0,6.2001,60.16
4.406,warmup,4968.0,1288.0,6.3988,60.03
4.506,warmup,4968.0,1280.0,6.3590,60.09
4.606,warmup,4968.0,1272.0,6.3193,60.03
4.707,warmup,4968.0,1304.0,6.4783,60.00
4.807,warmup,4968.0,1248.0,6.2001,60.00
4.907,warmup,4968.0,1288.0,6.3988,59.97
5.007,warmup,4968.0,1272.0,6.3193,59.91
