t_rel_s,phase,mv,ma,watt,temp_max_c
11.717,warmup,4952.0,1664.0,8.2401,60.53
11.817,warmup,4952.0,1688.0,8.3590,60.78
11.917,warmup,4952.0,1656.0,8.2005,60.72
12.018,warmup,4952.0,1688.0,8.3590,60.84
12.118,warmup,4952.0,1656.0,8.2005,60.62
12.218,warmup,4952.0,1688.0,8.3590,60.69
12.318,warmup,4952.0,1664.0,8.2401,60.75
12.418,warmup,4952.0,1688.0,8.3590,60.81
12.518,warmup,4952.0,1656.0,8.2005,60.56
12.618,warmup,4952.0,1688.0,8.3590,60.53
12.719,warmup,4952.0,1664.0,8.2401,60.78
12.819,warmup,4952.0,1688.0,8.3590,60.81
12.919,warmup,4952.0,1664.0,8.2401,60.75
13.019,warmup,4952.0,1688.0,8.3590,60.62
13.119,warmup,4952.0,1664.0,8.2401,60.62
13.219,warmup,4952.0,1688.0,8.3590,60.75
13.320,warmup,4952.0,1664.0,8.2401,60.59
13.420,warmup,4952.0,1688.0,8.3590,60.66
13.520,warmup,4952.0,1664.0,8.2401,60.69
13.620,warmup,4952.0,1688.0,8.3590,60.69
13.720,warmup,4952.0,1672.0,8.2797,60.78
13.820,warmup,4952.0,1688.0,8.3590,60.88
13.920,warmup,4952.0,1664.0,8.2401,60.78
14.021,warmup,4952.0,1688.0,8.3590,60.78
14.121,warmup,4952.0,1664.0,8.2401,60.75
14.221,warmup,4952.0,1688.0,8.3590,60.81
14.321,warmup,4952.0,1664.0,8.2401,60.59
14.421,warmup,4952.0,1680.0,8.3194,60.97
14.521,warmup,4952.0,1672.0,8.2797,60.62
14.621,warmup,4952.0,1680.0,8.3194,60.88
14.722,warmup,4952.0,1664.0,8.2401,60.88
14.822,warmup,4952.0,1688.0,8.3590,60.75
14.922,warmup,4952.0,1680.0,8.3194,60.72
15.022,warmup,4952.0,1704.0,8.4382,60.75
15.122,warmup,4952.0,1696.0,8.3986,60.94
15.222,warmup,4952.0,1760.0,8.7155,60.91
15.322,warmup,4952.0,1784.0,8.8344,60.84
15.423,warmup,4944.0,1832.0,9.0574,61.03
15.523,warmup,4944.0,1848.0,9.1365,61.03
15.623,warmup,4944.0,1848.0,9.1365,60.91
15.723,warmup,4944.0,1840.0,9.0970,60.88
15.823,warmup,4944.0,1856.0,9.1761,61.12
15.923,warmup,4944.0,1864.0,9.2156,60.94
16.023,warmup,4944.0,1888.0,9.3343,60.78
16.124,warmup,4944.0,1880.0,9.2947,61.16
16.224,warmup,4944.0,1848.0,9.1365,60.84
16.324,warmup,4944.0,1800.0,8.8992,60.75
16.424,warmup,4952.0,1784.0,8.8344,60.81
16.524,warmup,4952.0,1744.0,8.6363,61.03
16.624,warmup,4952.0,1744.0,8.6363,60.88
16.724,warmup,4952.0,1696.0,8.3986,60.91
16.825,warmup,4952.0,1712.0,8.4778,60.91
16.925,warmup,4952.0,1696.0,8.3986,60.91
17.025,warmup,4952.0,1712.0,8.4778,60.91
17.125,warmup,4952.0,1696.0,8.3986,60.81
17.225,warmup,4952.0,1696.0,8.3986,60.91
17.325,warmup,4952.0,1688.0,8.3590,60.88
17.425,warmup,4952.0,1696.0,8.3986,61.06
17.526,warmup,4952.0,1688.0,8.3590,61.09
17.626,warmup,4952.0,1688.0,8.3590,61.00
17.726,warmup,4952.0,1680.0,8.3194,60.91
17.826,warmup,4952.0,1680.0,8.3194,60.88
17.926,warmup,4952.0,1680.0,8.3194,60.84
18.026,warmup,4952.0,1680.0,8.3194,60.88
18.126,warmup,4952.0,1680.0,8.3194,60.91
18.227,warmup,4952.0,1680.0,8.3194,60.94
18.327,warmup,4952.0,1672.0,8.2797,61.19
18.427,warmup,4952.0,1680.0,8.3194,61.03
18.527,warmup,4952.0,1680.0,8.3194,61.00
18.627,warmup,4952.0,1680.0,8.3194,61.00
18.727,warmup,4952.0,1672.0,8.2797,60.97
18.827,warmup,4952.0,1680.0,8.3194,60.97
18.928,warmup,4952.0,1680.0,8.3194,61.12
19.028,warmup,4952.0,1680.0,8.3194,60.97
19.128,warmup,4952.0,1680.0,8.3194,60.91
19.228,warmup,4952.0,1680.0,8.3194,61.16
19.328,warmup,4952.0,1680.0,8.3194,61.09
19.428,warmup,4952.0,1680.0,8.3194,61.00
19.528,warmup,4952.0,1680.0,8.3194,61.00
19.629,warmup,4952.0,1672.0,8.2797,60.94
19.729,warmup,4952.0,1672.0,8.2797,60.97
19.829,warmup,4952.0,1672.0,8.2797,61.00
19.929,warmup,4952.0,1672.0,8.2797,60.97
20.029,warmup,4952.0,1672.0,8.2797,60.88
20.129,warmup,4952.0,1672.0,8.2797,61.06
20.229,warmup,4952.0,1672.0,8.2797,61.06
20.330,warmup,4952.0,1680.0,8.3194,61.03
20.430,warmup,4952.0,1672.0,8.2797,61.03
20.530,warmup,4952.0,1680.0,8.3194,61.00
20.630,warmup,4952.0,1672.0,8.2797,61.16
20.730,warmup,4952.0,1672.0,8.2797,61.09
20.830,warmup,4952.0,1672.0,8.2797,61.03
20.930,warmup,4952.0,1680.0,8.3194,60.97
21.031,warmup,4952.0,1672.0,8.2797,61.06
21.131,warmup,4952.0,1680.0,8.3194,61.12
21.231,warmup,4952.0,1672.0,8.2797,61.09
21.331,warmup,4952.0,1680.0,8.3194,61.16
21.431,warmup,4952.0,1672.0,8.2797,61.06
