t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4968.0,1248.0,6.2001,59.94
0.100,warmup,4976.0,1200.0,5.9712,59.91
0.200,warmup,4976.0,1136.0,5.6527,59.94
0.301,warmup,4984.0,1080.0,5.3827,59.84
0.401,warmup,4976.0,1136.0,5.6527,59.84
0.501,warmup,4976.0,1176.0,5.8518,59.91
0.601,warmup,4976.0,1216.0,6.0508,60.03
0.701,warmup,4968.0,1256.0,6.2398,60.00
0.801,warmup,4968.0,1272.0,6.3193,60.00
0.901,warmup,4968.0,1280.0,6.3590,59.91
1.002,warmup,4968.0,1296.0,6.4385,59.97
1.102,warmup,4968.0,1312.0,6.5180,59.97
1.202,warmup,4968.0,1328.0,6.5975,59.94
1.302,warmup,4968.0,1328.0,6.5975,59.91
1.402,warmup,4968.0,1328.0,6.5975,59.91
1.502,warmup,4968.0,1336.0,6.6372,60.19
1.603,warmup,4968.0,1336.0,6.6372,60.12
1.703,warmup,4968.0,1336.0,6.6372,60.16
1.803,warmup,4968.0,1344.0,6.6770,59.91
1.903,warmup,4968.0,1352.0,6.7167,60.06
2.003,warmup,4968.0,1344.0,6.6770,59.97
2.103,warmup,4968.0,1344.0,6.6770,59.97
2.203,warmup,4968.0,1344.0,6.6770,60.00
2.304,warmup,4968.0,1352.0,6.7167,59.97
2.404,warmup,4968.0,1352.0,6.7167,60.19
2.504,warmup,4968.0,1344.0,6.6770,60.12
2.604,warmup,4968.0,1344.0,6.6770,60.09
2.704,warmup,4968.0,1352.0,6.7167,60.00
2.804,warmup,4968.0,1344.0,6.6770,60.03
2.905,warmup,4968.0,1344.0,6.6770,60.00
3.005,warmup,4968.0,1344.0,6.6770,60.00
3.105,warmup,4968.0,1344.0,6.6770,59.94
3.205,warmup,4968.0,1344.0,6.6770,59.91
3.305,warmup,4968.0,1344.0,6.6770,60.19
3.405,warmup,4968.0,1352.0,6.7167,60.22
3.505,warmup,4968.0,1344.0,6.6770,60.16
3.606,warmup,4968.0,1336.0,6.6372,60.00
3.706,warmup,4968.0,1344.0,6.6770,60.09
3.806,warmup,4968.0,1352.0,6.7167,59.97
3.906,warmup,4968.0,1352.0,6.7167,60.03
4.006,warmup,4968.0,1344.0,6.6770,59.94
4.106,warmup,4968.0,1352.0,6.7167,60.00
4.206,warmup,4968.0,1352.0,6.7167,60.28
4.306,warmup,4968.0,1344.0,6.6770,60.19
4.407,warmup,4968.0,1344.0,6.6770,60.16
4.507,warmup,4968.0,1344.0,6.6770,60.09
4.607,warmup,4968.0,1336.0,6.6372,60.09
4.707,warmup,4968.0,1344.0,6.6770,60.06
4.807,warmup,4968.0,1336.0,6.6372,60.12
4.907,warmup,4968.0,1328.0,6.5975,60.03
5.007,warmup,4968.0,1344.0,6.6770,59.97
5.108,warmup,4968.0,1344.0,6.6770,60.31
5.208,warmup,4968.0,1336.0,6.6372,60.09
5.308,warmup,4968.0,1336.0,6.6372,60.22
5.408,warmup,4968.0,1344.0,6.6770,60.09
5.508,warmup,4968.0,1336.0,6.6372,60.16
5.608,warmup,4968.0,1336.0,6.6372,60.00
5.708,warmup,4968.0,1344.0,6.6770,60.12
5.809,warmup,4968.0,1344.0,6.6770,60.00
5.909,warmup,4968.0,1336.0,6.6372,59.97
6.009,warmup,4968.0,1344.0,6.6770,60.00
6.109,warmup,4968.0,1352.0,6.7167,60.28
6.209,warmup,4968.0,1352.0,6.7167,60.22
6.309,warmup,4968.0,1344.0,6.6770,60.09
6.409,warmup,4968.0,1352.0,6.7167,60.12
6.510,warmup,4968.0,1352.0,6.7167,60.06
6.610,warmup,4968.0,1352.0,6.7167,60.12
6.710,warmup,4968.0,1352.0,6.7167,60.09
6.810,warmup,4968.0,1352.0,6.7167,60.03
6.910,warmup,4968.0,1352.0,6.7167,60.06
7.010,warmup,4968.0,1352.0,6.7167,60.34
7.110,warmup,4968.0,1336.0,6.6372,60.28
7.211,warmup,4968.0,1344.0,6.6770,60.22
7.311,warmup,4968.0,1344.0,6.6770,60.19
7.411,warmup,4968.0,1336.0,6.6372,60.25
7.511,warmup,4968.0,1344.0,6.6770,60.06
7.611,warmup,4968.0,1344.0,6.6770,60.06
7.711,warmup,4968.0,1336.0,6.6372,60.06
7.811,warmup,4968.0,1336.0,6.6372,60.03
7.912,warmup,4968.0,1344.0,6.6770,60.06
8.012,warmup,4968.0,1344.0,6.6770,60.31
8.112,warmup,4968.0,1344.0,6.6770,60.19
8.212,warmup,4968.0,1344.0,6.6770,60.22
8.312,warmup,4968.0,1352.0,6.7167,60.16
8.412,warmup,4968.0,1352.0,6.7167,60.09
8.512,warmup,4968.0,1352.0,6.7167,60.16
8.613,warmup,4968.0,1352.0,6.7167,60.12
8.713,warmup,4968.0,1352.0,6.7167,60.12
8.813,warmup,4968.0,1360.0,6.7565,60.06
8.913,warmup,4968.0,1352.0,6.7167,60.34
9.013,warmup,4968.0,1352.0,6.7167,60.22
