t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1144.0,5.6925,60.09
0.100,warmup,4976.0,1112.0,5.5333,60.06
0.200,warmup,4976.0,1072.0,5.3343,60.00
0.300,warmup,4984.0,1032.0,5.1435,59.97
0.401,warmup,4976.0,1128.0,5.6129,59.97
0.501,warmup,4968.0,1272.0,6.3193,59.97
0.601,warmup,4968.0,1312.0,6.5180,59.91
0.701,warmup,4968.0,1416.0,7.0347,60.16
0.801,warmup,4960.0,1488.0,7.3805,60.09
0.901,warmup,4960.0,1504.0,7.4598,60.06
1.001,warmup,4960.0,1560.0,7.7376,60.00
1.102,warmup,4960.0,1576.0,7.8170,60.03
1.202,warmup,4952.0,1600.0,7.9232,60.06
1.302,warmup,4952.0,1616.0,8.0024,60.03
1.402,warmup,4952.0,1616.0,8.0024,59.94
1.503,warmup,4952.0,1664.0,8.2401,60.09
1.603,warmup,4952.0,1688.0,8.3590,60.31
1.703,warmup,4952.0,1696.0,8.3986,60.12
1.803,warmup,4952.0,1688.0,8.3590,60.16
1.903,warmup,4952.0,1720.0,8.5174,60.06
2.003,warmup,4952.0,1736.0,8.5967,60.03
2.103,warmup,4952.0,1744.0,8.6363,60.12
2.203,warmup,4952.0,1736.0,8.5967,60.06
2.304,warmup,4952.0,1736.0,8.5967,60.03
2.404,warmup,4952.0,1760.0,8.7155,60.16
2.504,warmup,4952.0,1752.0,8.6759,60.16
2.604,warmup,4952.0,1744.0,8.6363,60.28
2.704,warmup,4952.0,1736.0,8.5967,60.19
2.804,warmup,4952.0,1760.0,8.7155,60.19
2.904,warmup,4952.0,1768.0,8.7551,60.22
3.004,warmup,4952.0,1760.0,8.7155,60.34
3.105,warmup,4952.0,1744.0,8.6363,60.22
3.205,warmup,4952.0,1752.0,8.6759,60.22
3.305,warmup,4952.0,1776.0,8.7948,60.44
3.405,warmup,4952.0,1768.0,8.7551,60.16
3.505,warmup,4952.0,1760.0,8.7155,60.34
3.605,warmup,4952.0,1752.0,8.6759,60.22
3.705,warmup,4952.0,1768.0,8.7551,60.31
3.806,warmup,4952.0,1776.0,8.7948,60.22
3.906,warmup,4952.0,1768.0,8.7551,60.25
4.006,warmup,4952.0,1752.0,8.6759,60.16
4.106,warmup,4952.0,1760.0,8.7155,60.28
4.206,warmup,4952.0,1776.0,8.7948,60.31
4.306,warmup,4952.0,1768.0,8.7551,60.59
4.406,warmup,4952.0,1760.0,8.7155,60.44
4.507,warmup,4952.0,1752.0,8.6759,60.34
4.607,warmup,4952.0,1776.0,8.7948,60.38
4.707,warmup,4952.0,1776.0,8.7948,60.53
4.807,warmup,4952.0,1768.0,8.7551,60.41
4.907,warmup,4952.0,1752.0,8.6759,60.31
5.007,warmup,4952.0,1768.0,8.7551,60.53
5.108,warmup,4944.0,1776.0,8.7805,60.34
5.208,warmup,4952.0,1768.0,8.7551,60.31
5.308,warmup,4952.0,1760.0,8.7155,60.38
5.408,warmup,4952.0,1760.0,8.7155,60.38
5.508,warmup,4952.0,1776.0,8.7948,60.44
5.608,warmup,4952.0,1768.0,8.7551,60.50
5.708,warmup,4952.0,1768.0,8.7551,60.31
5.809,warmup,4952.0,1744.0,8.6363,60.28
5.909,warmup,4952.0,1768.0,8.7551,60.44
6.009,warmup,4944.0,1776.0,8.7805,60.44
6.109,warmup,4952.0,1768.0,8.7551,60.62
6.209,warmup,4952.0,1752.0,8.6759,60.44
6.309,warmup,4952.0,1760.0,8.7155,60.44
6.409,warmup,4944.0,1776.0,8.7805,60.69
6.509,warmup,4952.0,1768.0,8.7551,60.56
6.610,warmup,4952.0,1760.0,8.7155,60.38
6.710,warmup,4952.0,1752.0,8.6759,60.38
6.810,warmup,4952.0,1768.0,8.7551,60.38
6.910,warmup,4952.0,1768.0,8.7551,60.41
7.010,warmup,4952.0,1760.0,8.7155,60.50
7.110,warmup,4952.0,1744.0,8.6363,60.53
7.210,warmup,4952.0,1760.0,8.7155,60.44
7.311,warmup,4952.0,1776.0,8.7948,60.62
7.411,warmup,4952.0,1768.0,8.7551,60.53
7.511,warmup,4952.0,1760.0,8.7155,60.50
7.611,warmup,4952.0,1752.0,8.6759,60.44
7.712,warmup,4944.0,1768.0,8.7410,60.56
7.812,warmup,4944.0,1776.0,8.7805,60.81
7.912,warmup,4952.0,1768.0,8.7551,60.56
8.012,warmup,4952.0,1752.0,8.6759,60.62
8.112,warmup,4952.0,1760.0,8.7155,60.75
8.212,warmup,4944.0,1768.0,8.7410,60.72
8.313,warmup,4952.0,1768.0,8.7551,60.53
8.413,warmup,4952.0,1760.0,8.7155,60.53
8.513,warmup,4952.0,1752.0,8.6759,60.47
8.613,warmup,4944.0,1776.0,8.7805,60.62
8.713,warmup,4952.0,1776.0,8.7948,60.66
8.813,warmup,4952.0,1768.0,8.7551,60.53
8.913,warmup,4952.0,1752.0,8.6759,60.69
9.014,warmup,4952.0,1768.0,8.7551,60.62
9.114,warmup,4952.0,1776.0,8.7948,60.59
9.214,warmup,4952.0,1768.0,8.7551,60.78
9.314,warmup,4952.0,1752.0,8.6759,60.62
9.414,warmup,4952.0,1760.0,8.7155,60.56
9.514,warmup,4952.0,1776.0,8.7948,60.91
9.614,warmup,4944.0,1768.0,8.7410,60.69
9.714,warmup,4952.0,1760.0,8.7155,60.53
9.815,warmup,4952.0,1752.0,8.6759,60.81
9.915,warmup,4944.0,1768.0,8.7410,60.69
10.015,warmup,4944.0,1768.0,8.7410,60.69
10.115,warmup,4944.0,1760.0,8.7014,60.59
10.215,warmup,4952.0,1744.0,8.6363,60.59
10.315,warmup,4944.0,1768.0,8.7410,60.59
10.415,warmup,4944.0,1776.0,8.7805,60.62
10.515,warmup,4952.0,1768.0,8.7551,60.66
10.616,warmup,4952.0,1752.0,8.6759,60.50
10.716,warmup,4952.0,1760.0,8.7155,60.72
10.816,warmup,4944.0,1776.0,8.7805,60.78
10.916,warmup,4952.0,1768.0,8.7551,61.00
11.016,warmup,4952.0,1760.0,8.7155,60.72
11.116,warmup,4952.0,1752.0,8.6759,60.66
11.217,warmup,4952.0,1768.0,8.7551,61.00
11.317,warmup,4952.0,1768.0,8.7551,60.91
11.417,warmup,4952.0,1768.0,8.7551,60.72
11.517,warmup,4952.0,1744.0,8.6363,60.53
11.617,warmup,4952.0,1760.0,8.7155,60.94
11.717,warmup,4952.0,1768.0,8.7551,60.81
11.817,warmup,4952.0,1768.0,8.7551,60.88
11.918,warmup,4952.0,1752.0,8.6759,60.69
12.018,warmup,4952.0,1752.0,8.6759,60.72
12.118,warmup,4944.0,1776.0,8.7805,60.88
12.218,warmup,4952.0,1768.0,8.7551,60.84
12.318,warmup,4952.0,1760.0,8.7155,60.62
12.418,warmup,4952.0,1744.0,8.6363,60.66
12.518,warmup,4944.0,1768.0,8.7410,60.88
12.618,warmup,4944.0,1776.0,8.7805,61.09
12.719,warmup,4944.0,1768.0,8.7410,60.88
12.819,warmup,4952.0,1752.0,8.6759,60.75
12.919,warmup,4952.0,1768.0,8.7551,61.03
13.019,warmup,4944.0,1784.0,8.8201,61.03
13.119,warmup,4952.0,1776.0,8.7948,60.88
13.219,warmup,4952.0,1760.0,8.7155,60.69
13.319,warmup,4952.0,1760.0,8.7155,60.91
13.419,warmup,4952.0,1776.0,8.7948,60.84
13.520,warmup,4952.0,1776.0,8.7948,60.94
13.620,warmup,4952.0,1768.0,8.7551,61.00
13.720,warmup,4952.0,1752.0,8.6759,60.88
13.820,warmup,4952.0,1768.0,8.7551,60.78
13.920,warmup,4952.0,1776.0,8.7948,60.97
14.020,warmup,4952.0,1768.0,8.7551,60.81
14.120,warmup,4952.0,1752.0,8.6759,60.88
14.220,warmup,4952.0,1768.0,8.7551,60.84
14.321,warmup,4952.0,1776.0,8.7948,61.00
14.421,warmup,4952.0,1768.0,8.7551,61.06
14.521,warmup,4952.0,1760.0,8.7155,60.94
14.621,warmup,4952.0,1752.0,8.6759,60.84
14.721,warmup,4944.0,1776.0,8.7805,61.16
14.821,warmup,4952.0,1768.0,8.7551,61.06
14.921,warmup,4952.0,1760.0,8.7155,60.81
15.021,warmup,4952.0,1744.0,8.6363,60.97
15.122,warmup,4952.0,1768.0,8.7551,61.16
15.222,warmup,4952.0,1768.0,8.7551,60.94
15.322,warmup,4952.0,1768.0,8.7551,61.09
15.422,warmup,4952.0,1744.0,8.6363,61.06
15.522,warmup,4952.0,1760.0,8.7155,60.88
15.622,warmup,4944.0,1776.0,8.7805,61.16
15.722,warmup,4952.0,1768.0,8.7551,60.94
15.822,warmup,4952.0,1760.0,8.7155,60.88
15.923,warmup,4952.0,1752.0,8.6759,60.91
16.023,warmup,4944.0,1776.0,8.7805,61.28
16.123,warmup,4952.0,1768.0,8.7551,61.22
16.223,warmup,4952.0,1760.0,8.7155,61.00
16.323,warmup,4952.0,1752.0,8.6759,61.00
16.423,warmup,4952.0,1776.0,8.7948,61.28
16.523,warmup,4952.0,1776.0,8.7948,61.19
16.623,warmup,4952.0,1768.0,8.7551,60.94
16.724,warmup,4952.0,1752.0,8.6759,61.12
16.824,warmup,4952.0,1768.0,8.7551,61.25
16.924,warmup,4952.0,1776.0,8.7948,61.00
17.024,warmup,4952.0,1776.0,8.7948,60.94
17.124,warmup,4952.0,1760.0,8.7155,60.94
17.225,warmup,4952.0,1752.0,8.6759,61.06
17.325,warmup,4952.0,1776.0,8.7948,61.12
17.425,warmup,4952.0,1768.0,8.7551,61.06
17.525,warmup,4952.0,1760.0,8.7155,61.03
17.625,warmup,4952.0,1744.0,8.6363,60.97
17.725,warmup,4952.0,1768.0,8.7551,61.09
17.825,warmup,4952.0,1768.0,8.7551,61.28
17.925,warmup,4952.0,1760.0,8.7155,61.19
18.026,warmup,4952.0,1752.0,8.6759,61.03
18.126,warmup,4952.0,1760.0,8.7155,61.34
18.226,warmup,4952.0,1776.0,8.7948,61.31
18.326,warmup,4952.0,1768.0,8.7551,61.22
18.426,warmup,4952.0,1760.0,8.7155,61.06
18.526,warmup,4952.0,1752.0,8.6759,61.19
18.626,warmup,4944.0,1768.0,8.7410,61.03
18.726,warmup,4944.0,1776.0,8.7805,61.09
18.827,warmup,4944.0,1768.0,8.7410,61.41
18.927,warmup,4952.0,1752.0,8.6759,60.94
19.027,warmup,4952.0,1768.0,8.7551,61.19
19.127,warmup,4944.0,1784.0,8.8201,61.31
19.227,warmup,4944.0,1776.0,8.7805,61.22
19.327,warmup,4952.0,1760.0,8.7155,61.22
19.427,warmup,4952.0,1752.0,8.6759,61.09
19.528,warmup,4944.0,1776.0,8.7805,61.41
19.628,warmup,4944.0,1776.0,8.7805,61.41
19.728,warmup,4944.0,1768.0,8.7410,61.22
19.828,warmup,4952.0,1752.0,8.6759,61.41
19.928,warmup,4944.0,1768.0,8.7410,61.38
20.028,warmup,4944.0,1776.0,8.7805,61.34
20.128,warmup,4944.0,1768.0,8.7410,61.12
20.228,warmup,4952.0,1760.0,8.7155,61.41
20.329,warmup,4952.0,1760.0,8.7155,61.12
20.429,warmup,4944.0,1776.0,8.7805,61.28
20.529,warmup,4944.0,1776.0,8.7805,61.56
20.629,warmup,4944.0,1768.0,8.7410,61.19
20.729,warmup,4952.0,1752.0,8.6759,61.09
20.829,warmup,4944.0,1768.0,8.7410,61.28
20.929,warmup,4944.0,1776.0,8.7805,61.28
21.030,warmup,4952.0,1768.0,8.7551,61.41
21.130,warmup,4952.0,1752.0,8.6759,61.25
21.230,warmup,4952.0,1760.0,8.7155,61.25
21.330,warmup,4944.0,1776.0,8.7805,61.56
21.430,warmup,4944.0,1776.0,8.7805,61.41
21.530,warmup,4952.0,1768.0,8.7551,61.19
21.630,warmup,4952.0,1752.0,8.6759,61.34
21.731,warmup,4944.0,1776.0,8.7805,61.28
21.831,warmup,4952.0,1768.0,8.7551,61.28
21.931,warmup,4952.0,1760.0,8.7155,61.47
22.031,warmup,4952.0,1752.0,8.6759,61.34
22.131,warmup,4952.0,1776.0,8.7948,61.25
22.231,warmup,4944.0,1776.0,8.7805,61.31
22.331,warmup,4952.0,1776.0,8.7948,61.25
22.431,warmup,4952.0,1760.0,8.7155,61.22
22.532,warmup,4952.0,1760.0,8.7155,61.34
22.632,warmup,4944.0,1784.0,8.8201,61.44
22.732,warmup,4944.0,1776.0,8.7805,61.44
22.832,warmup,4944.0,1768.0,8.7410,61.38
22.932,warmup,4952.0,1752.0,8.6759,61.28
23.033,warmup,4944.0,1768.0,8.7410,61.53
23.133,warmup,4944.0,1768.0,8.7410,61.41
23.233,warmup,4944.0,1768.0,8.7410,61.31
23.333,warmup,4952.0,1752.0,8.6759,61.47
