t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1152.0,5.7324,58.91
0.100,warmup,4976.0,1112.0,5.5333,58.84
0.200,warmup,4984.0,1072.0,5.3428,58.88
0.301,warmup,4984.0,1032.0,5.1435,58.81
0.401,warmup,4976.0,1120.0,5.5731,58.81
0.501,warmup,4976.0,1232.0,6.1304,58.75
0.601,warmup,4968.0,1312.0,6.5180,58.75
0.701,warmup,4968.0,1400.0,6.9552,58.81
0.801,warmup,4968.0,1440.0,7.1539,59.00
0.902,warmup,4960.0,1496.0,7.4202,59.06
1.002,warmup,4960.0,1520.0,7.5392,58.94
1.102,warmup,4960.0,1568.0,7.7773,59.00
1.202,warmup,4960.0,1592.0,7.8963,58.81
1.302,warmup,4960.0,1600.0,7.9360,58.88
1.402,warmup,4960.0,1640.0,8.1344,59.03
1.502,warmup,4960.0,1632.0,8.0947,58.84
1.603,warmup,4952.0,1648.0,8.1609,58.84
1.703,warmup,4952.0,1648.0,8.1609,58.84
1.803,warmup,4952.0,1648.0,8.1609,59.03
1.903,warmup,4952.0,1664.0,8.2401,58.97
2.004,warmup,4952.0,1648.0,8.1609,58.94
2.104,warmup,4952.0,1680.0,8.3194,58.94
2.204,warmup,4952.0,1704.0,8.4382,59.03
2.304,warmup,4952.0,1704.0,8.4382,58.97
2.404,warmup,4952.0,1696.0,8.3986,59.00
2.504,warmup,4952.0,1728.0,8.5571,59.03
2.604,warmup,4952.0,1728.0,8.5571,59.00
2.705,warmup,4952.0,1720.0,8.5174,59.12
2.805,warmup,4952.0,1720.0,8.5174,59.06
2.905,warmup,4952.0,1744.0,8.6363,59.06
3.005,warmup,4952.0,1752.0,8.6759,59.00
3.105,warmup,4952.0,1752.0,8.6759,59.22
3.205,warmup,4952.0,1736.0,8.5967,58.94
3.305,warmup,4952.0,1752.0,8.6759,58.97
3.406,warmup,4952.0,1768.0,8.7551,59.06
3.506,warmup,4952.0,1760.0,8.7155,58.94
3.606,warmup,4952.0,1736.0,8.5967,59.28
3.706,warmup,4952.0,1752.0,8.6759,59.12
3.806,warmup,4952.0,1752.0,8.6759,59.06
3.906,warmup,4952.0,1736.0,8.5967,59.12
4.006,warmup,4952.0,1736.0,8.5967,59.12
4.106,warmup,4952.0,1752.0,8.6759,59.06
4.207,warmup,4952.0,1744.0,8.6363,59.34
4.307,warmup,4952.0,1728.0,8.5571,59.16
4.407,warmup,4952.0,1736.0,8.5967,59.06
4.507,warmup,4952.0,1752.0,8.6759,59.41
4.607,warmup,4952.0,1744.0,8.6363,59.31
4.707,warmup,4952.0,1720.0,8.5174,59.19
4.807,warmup,4952.0,1744.0,8.6363,59.19
4.908,warmup,4952.0,1752.0,8.6759,59.16
5.008,warmup,4952.0,1744.0,8.6363,59.12
5.108,warmup,4952.0,1728.0,8.5571,59.03
5.208,warmup,4952.0,1752.0,8.6759,59.09
5.308,warmup,4952.0,1744.0,8.6363,59.06
5.408,warmup,4952.0,1728.0,8.5571,59.09
5.508,warmup,4952.0,1744.0,8.6363,59.22
5.608,warmup,4952.0,1744.0,8.6363,59.38
5.709,warmup,4952.0,1744.0,8.6363,59.28
5.809,warmup,4952.0,1720.0,8.5174,59.19
5.909,warmup,4952.0,1744.0,8.6363,59.41
6.009,warmup,4952.0,1744.0,8.6363,59.41
6.109,warmup,4952.0,1736.0,8.5967,59.12
6.209,warmup,4952.0,1728.0,8.5571,59.41
6.309,warmup,4952.0,1752.0,8.6759,59.47
6.410,warmup,4952.0,1744.0,8.6363,59.28
6.510,warmup,4952.0,1728.0,8.5571,59.25
6.610,warmup,4952.0,1744.0,8.6363,59.38
6.710,warmup,4952.0,1752.0,8.6759,59.25
6.810,warmup,4952.0,1736.0,8.5967,59.22
6.910,warmup,4952.0,1720.0,8.5174,59.28
7.011,warmup,4952.0,1744.0,8.6363,59.25
7.111,warmup,4952.0,1736.0,8.5967,59.31
7.211,warmup,4952.0,1720.0,8.5174,59.19
7.312,warmup,4952.0,1736.0,8.5967,59.47
7.412,warmup,4952.0,1744.0,8.6363,59.47
7.512,warmup,4952.0,1728.0,8.5571,59.41
7.612,warmup,4952.0,1728.0,8.5571,59.41
7.712,warmup,4952.0,1744.0,8.6363,59.50
7.812,warmup,4952.0,1736.0,8.5967,59.22
7.912,warmup,4952.0,1712.0,8.4778,59.31
8.013,warmup,4952.0,1736.0,8.5967,59.38
8.113,warmup,4952.0,1736.0,8.5967,59.25
8.214,warmup,4952.0,1728.0,8.5571,59.34
8.314,warmup,4952.0,1728.0,8.5571,59.50
8.414,warmup,4952.0,1752.0,8.6759,59.41
8.514,warmup,4952.0,1744.0,8.6363,59.44
8.614,warmup,4952.0,1736.0,8.5967,59.34
8.714,warmup,4952.0,1744.0,8.6363,59.50
8.814,warmup,4952.0,1760.0,8.7155,59.50
8.914,warmup,4952.0,1752.0,8.6759,59.44
9.015,warmup,4952.0,1736.0,8.5967,59.44
9.115,warmup,4952.0,1752.0,8.6759,59.47
9.215,warmup,4952.0,1760.0,8.7155,59.50
9.315,warmup,4952.0,1752.0,8.6759,59.66
9.415,warmup,4952.0,1736.0,8.5967,59.47
9.515,warmup,4952.0,1760.0,8.7155,59.41
9.615,warmup,4952.0,1760.0,8.7155,59.41
9.716,warmup,4952.0,1752.0,8.6759,59.56
9.816,warmup,4952.0,1736.0,8.5967,59.41
9.916,warmup,4952.0,1752.0,8.6759,59.50
10.016,warmup,4952.0,1752.0,8.6759,59.47
10.116,warmup,4952.0,1744.0,8.6363,59.56
10.216,warmup,4952.0,1736.0,8.5967,59.50
10.316,warmup,4952.0,1760.0,8.7155,59.81
10.416,warmup,4952.0,1752.0,8.6759,59.69
10.517,warmup,4952.0,1744.0,8.6363,59.50
10.617,warmup,4952.0,1736.0,8.5967,59.44
10.717,warmup,4952.0,1760.0,8.7155,59.81
10.817,warmup,4952.0,1752.0,8.6759,59.59
10.917,warmup,4952.0,1736.0,8.5967,59.50
11.017,warmup,4952.0,1744.0,8.6363,59.72
11.117,warmup,4952.0,1760.0,8.7155,59.72
11.217,warmup,4952.0,1752.0,8.6759,59.56
11.318,warmup,4952.0,1728.0,8.5571,59.44
11.418,warmup,4952.0,1752.0,8.6759,59.69
11.518,warmup,4952.0,1760.0,8.7155,59.47
11.618,warmup,4952.0,1760.0,8.7155,59.56
11.718,warmup,4952.0,1736.0,8.5967,59.44
11.819,warmup,4952.0,1752.0,8.6759,59.50
11.919,warmup,4952.0,1760.0,8.7155,59.72
12.019,warmup,4952.0,1752.0,8.6759,59.59
12.119,warmup,4952.0,1736.0,8.5967,59.56
12.219,warmup,4952.0,1752.0,8.6759,59.66
12.319,warmup,4952.0,1752.0,8.6759,59.66
12.419,warmup,4952.0,1744.0,8.6363,59.84
12.520,warmup,4952.0,1736.0,8.5967,59.62
12.620,warmup,4952.0,1760.0,8.7155,59.72
12.720,warmup,4952.0,1760.0,8.7155,59.56
12.820,warmup,4952.0,1744.0,8.6363,59.66
12.920,warmup,4952.0,1744.0,8.6363,59.62
13.020,warmup,4952.0,1760.0,8.7155,59.59
13.120,warmup,4952.0,1752.0,8.6759,59.94
13.221,warmup,4952.0,1736.0,8.5967,59.62
13.321,warmup,4952.0,1752.0,8.6759,59.53
13.421,warmup,4952.0,1760.0,8.7155,59.72
13.521,warmup,4952.0,1752.0,8.6759,59.56
13.621,warmup,4952.0,1736.0,8.5967,59.62
13.721,warmup,4952.0,1752.0,8.6759,59.75
13.821,warmup,4952.0,1760.0,8.7155,59.69
13.921,warmup,4952.0,1752.0,8.6759,59.84
14.022,warmup,4952.0,1736.0,8.5967,59.62
14.122,warmup,4952.0,1752.0,8.6759,59.88
14.222,warmup,4952.0,1760.0,8.7155,59.94
14.322,warmup,4952.0,1752.0,8.6759,59.81
14.422,warmup,4952.0,1736.0,8.5967,59.53
14.522,warmup,4952.0,1760.0,8.7155,59.91
14.622,warmup,4952.0,1768.0,8.7551,59.88
14.723,warmup,4952.0,1752.0,8.6759,59.72
14.823,warmup,4952.0,1744.0,8.6363,59.88
14.924,warmup,4952.0,1760.0,8.7155,59.75
15.024,warmup,4952.0,1760.0,8.7155,59.78
15.124,warmup,4952.0,1752.0,8.6759,59.69
15.224,warmup,4952.0,1736.0,8.5967,59.81
15.325,warmup,4952.0,1760.0,8.7155,59.88
15.425,warmup,4952.0,1760.0,8.7155,59.91
15.525,warmup,4952.0,1744.0,8.6363,59.94
15.625,warmup,4952.0,1744.0,8.6363,59.91
15.725,warmup,4952.0,1760.0,8.7155,59.91
15.825,warmup,4952.0,1752.0,8.6759,59.78
15.925,warmup,4952.0,1736.0,8.5967,59.84
16.025,warmup,4952.0,1744.0,8.6363,59.81
16.126,warmup,4952.0,1752.0,8.6759,59.66
16.226,warmup,4952.0,1752.0,8.6759,60.03
16.326,warmup,4952.0,1728.0,8.5571,59.66
16.426,warmup,4952.0,1752.0,8.6759,59.69
16.526,warmup,4952.0,1760.0,8.7155,59.84
16.626,warmup,4952.0,1752.0,8.6759,59.81
16.726,warmup,4952.0,1736.0,8.5967,59.88
16.827,warmup,4952.0,1752.0,8.6759,59.81
16.927,warmup,4952.0,1752.0,8.6759,59.81
17.027,warmup,4952.0,1736.0,8.5967,59.91
17.127,warmup,4952.0,1736.0,8.5967,59.78
17.227,warmup,4952.0,1752.0,8.6759,60.12
17.327,warmup,4952.0,1752.0,8.6759,60.03
17.428,warmup,4952.0,1736.0,8.5967,59.81
17.528,warmup,4952.0,1736.0,8.5967,59.97
17.628,warmup,4952.0,1760.0,8.7155,60.19
17.728,warmup,4952.0,1752.0,8.6759,60.03
17.828,warmup,4952.0,1744.0,8.6363,59.81
17.928,warmup,4952.0,1744.0,8.6363,60.12
18.028,warmup,4952.0,1760.0,8.7155,59.88
18.129,warmup,4952.0,1752.0,8.6759,59.81
18.229,warmup,4952.0,1736.0,8.5967,59.84
18.329,warmup,4952.0,1752.0,8.6759,60.00
18.429,warmup,4952.0,1760.0,8.7155,60.00
18.529,warmup,4952.0,1752.0,8.6759,59.97
18.629,warmup,4952.0,1736.0,8.5967,59.88
18.729,warmup,4952.0,1752.0,8.6759,59.97
18.830,warmup,4952.0,1760.0,8.7155,60.09
18.930,warmup,4952.0,1752.0,8.6759,59.94
19.030,warmup,4952.0,1728.0,8.5571,59.94
19.130,warmup,4952.0,1752.0,8.6759,60.12
19.230,warmup,4952.0,1760.0,8.7155,59.91
19.331,warmup,4952.0,1752.0,8.6759,60.03
19.431,warmup,4952.0,1736.0,8.5967,60.06
19.531,warmup,4952.0,1760.0,8.7155,59.97
19.631,warmup,4952.0,1752.0,8.6759,59.91
19.731,warmup,4952.0,1744.0,8.6363,59.94
19.831,warmup,4952.0,1736.0,8.5967,59.91
19.932,warmup,4952.0,1760.0,8.7155,59.97
20.032,warmup,4952.0,1744.0,8.6363,59.94
20.132,warmup,4952.0,1728.0,8.5571,59.97
20.232,warmup,4952.0,1744.0,8.6363,60.09
20.332,warmup,4952.0,1752.0,8.6759,60.06
20.433,warmup,4952.0,1728.0,8.5571,60.03
20.533,warmup,4952.0,1728.0,8.5571,59.97
20.633,warmup,4952.0,1752.0,8.6759,60.09
20.733,warmup,4952.0,1736.0,8.5967,60.19
20.833,warmup,4952.0,1720.0,8.5174,60.03
20.935,warmup,4952.0,1744.0,8.6363,59.97
21.035,warmup,4952.0,1736.0,8.5967,60.31
21.135,warmup,4952.0,1720.0,8.5174,59.91
21.235,warmup,4952.0,1736.0,8.5967,60.09
21.335,warmup,4952.0,1744.0,8.6363,60.19
21.435,warmup,4952.0,1736.0,8.5967,60.12
21.535,warmup,4952.0,1728.0,8.5571,60.03
21.636,warmup,4952.0,1752.0,8.6759,60.09
21.736,warmup,4952.0,1736.0,8.5967,60.03
21.836,warmup,4952.0,1720.0,8.5174,60.06
21.936,warmup,4952.0,1744.0,8.6363,60.12
22.036,warmup,4952.0,1744.0,8.6363,60.09
22.136,warmup,4952.0,1736.0,8.5967,60.16
22.236,warmup,4952.0,1728.0,8.5571,60.22
22.336,warmup,4952.0,1752.0,8.6759,60.12
22.437,warmup,4952.0,1736.0,8.5967,60.28
22.537,warmup,4952.0,1720.0,8.5174,60.09
22.638,warmup,4952.0,1744.0,8.6363,60.09
22.738,warmup,4952.0,1744.0,8.6363,60.12
22.838,warmup,4952.0,1728.0,8.5571,60.19
22.938,warmup,4952.0,1736.0,8.5967,60.03
23.038,warmup,4952.0,1752.0,8.6759,60.28
23.139,warmup,4952.0,1736.0,8.5967,60.09
23.239,warmup,4952.0,1728.0,8.5571,60.19
23.339,warmup,4952.0,1752.0,8.6759,60.31
23.439,warmup,4952.0,1736.0,8.5967,60.19
23.539,warmup,4952.0,1712.0,8.4778,60.19
23.639,warmup,4952.0,1736.0,8.5967,60.22
23.739,warmup,4952.0,1736.0,8.5967,60.12
23.839,warmup,4952.0,1728.0,8.5571,60.28
23.940,warmup,4952.0,1736.0,8.5967,60.25
24.040,warmup,4952.0,1744.0,8.6363,60.28
24.140,warmup,4952.0,1736.0,8.5967,60.38
24.240,warmup,4952.0,1720.0,8.5174,60.22
24.340,warmup,4952.0,1744.0,8.6363,60.31
24.440,warmup,4952.0,1736.0,8.5967,60.25
24.540,warmup,4952.0,1720.0,8.5174,60.03
24.641,warmup,4952.0,1744.0,8.6363,60.19
24.741,warmup,4952.0,1744.0,8.6363,60.28
24.841,warmup,4952.0,1728.0,8.5571,60.12
24.941,warmup,4952.0,1728.0,8.5571,60.31
25.041,warmup,4952.0,1744.0,8.6363,60.44
25.141,warmup,4952.0,1736.0,8.5967,60.25
25.241,warmup,4952.0,1720.0,8.5174,60.19
25.343,warmup,4952.0,1744.0,8.6363,60.41
25.443,warmup,4952.0,1744.0,8.6363,60.22
25.543,warmup,4952.0,1728.0,8.5571,60.41
25.643,warmup,4952.0,1736.0,8.5967,60.16
25.743,warmup,4952.0,1744.0,8.6363,60.25
25.843,warmup,4952.0,1736.0,8.5967,60.31
25.944,warmup,4952.0,1720.0,8.5174,60.19
26.044,warmup,4952.0,1744.0,8.6363,60.34
26.144,warmup,4952.0,1736.0,8.5967,60.31
26.244,warmup,4952.0,1720.0,8.5174,60.25
26.344,warmup,4952.0,1736.0,8.5967,60.34
26.444,warmup,4952.0,1744.0,8.6363,60.44
26.544,warmup,4952.0,1728.0,8.5571,60.28
26.644,warmup,4952.0,1728.0,8.5571,60.34
26.745,warmup,4952.0,1752.0,8.6759,60.44
26.845,warmup,4952.0,1736.0,8.5967,60.38
26.945,warmup,4952.0,1720.0,8.5174,60.41
27.045,warmup,4952.0,1744.0,8.6363,60.38
27.146,warmup,4952.0,1744.0,8.6363,60.31
27.246,warmup,4952.0,1736.0,8.5967,60.53
27.346,warmup,4952.0,1736.0,8.5967,60.31
27.446,warmup,4952.0,1760.0,8.7155,60.41
27.546,warmup,4952.0,1752.0,8.6759,60.34
27.646,warmup,4952.0,1736.0,8.5967,60.28
27.746,warmup,4952.0,1744.0,8.6363,60.28
27.847,warmup,4952.0,1760.0,8.7155,60.44
27.947,warmup,4952.0,1752.0,8.6759,60.41
28.047,warmup,4952.0,1736.0,8.5967,60.41
28.147,warmup,4952.0,1752.0,8.6759,60.41
28.247,warmup,4952.0,1760.0,8.7155,60.41
28.347,warmup,4952.0,1752.0,8.6759,60.56
