t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4976.0,1144.0,5.6925,60.00
0.100,warmup,4976.0,1112.0,5.5333,60.03
0.201,warmup,4976.0,1072.0,5.3343,60.09
0.301,warmup,4984.0,1032.0,5.1435,60.06
0.401,warmup,4976.0,1120.0,5.5731,60.06
0.501,warmup,4976.0,1096.0,5.4537,60.25
0.601,warmup,4976.0,1072.0,5.3343,60.28
0.701,warmup,4976.0,1128.0,5.6129,60.19
0.802,warmup,4976.0,1128.0,5.6129,60.22
0.902,warmup,4976.0,1096.0,5.4537,60.16
1.002,warmup,4976.0,1112.0,5.5333,60.12
1.102,warmup,4976.0,1152.0,5.7324,60.19
1.202,warmup,4976.0,1112.0,5.5333,60.00
1.302,warmup,4976.0,1088.0,5.4139,59.97
1.402,warmup,4976.0,1160.0,5.7722,60.28
1.502,warmup,4976.0,1128.0,5.6129,60.19
1.603,warmup,4976.0,1096.0,5.4537,60.25
1.703,warmup,4976.0,1168.0,5.8120,60.22
1.803,warmup,4976.0,1136.0,5.6527,60.16
1.903,warmup,4976.0,1104.0,5.4935,60.06
2.003,warmup,4976.0,1120.0,5.5731,60.12
2.103,warmup,4976.0,1152.0,5.7324,60.12
2.203,warmup,4976.0,1112.0,5.5333,60.03
2.303,warmup,4976.0,1088.0,5.4139,60.25
2.404,warmup,4976.0,1160.0,5.7722,60.31
2.504,warmup,4976.0,1128.0,5.6129,60.16
2.604,warmup,4976.0,1096.0,5.4537,60.22
2.704,warmup,4976.0,1168.0,5.8120,60.12
2.804,warmup,4976.0,1136.0,5.6527,60.09
2.904,warmup,4976.0,1104.0,5.4935,60.09
3.004,warmup,4976.0,1120.0,5.5731,60.06
3.104,warmup,4976.0,1152.0,5.7324,60.06
3.205,warmup,4976.0,1112.0,5.5333,60.09
3.305,warmup,4976.0,1088.0,5.4139,60.34
3.405,warmup,4976.0,1160.0,5.7722,60.22
3.505,warmup,4976.0,1128.0,5.6129,60.12
3.605,warmup,4976.0,1096.0,5.4537,60.06
3.705,warmup,4976.0,1152.0,5.7324,60.16
3.805,warmup,4976.0,1144.0,5.6925,60.12
3.906,warmup,4976.0,1104.0,5.4935,60.09
4.006,warmup,4976.0,1120.0,5.5731,60.09
4.106,warmup,4976.0,1152.0,5.7324,59.97
4.206,warmup,4976.0,1120.0,5.5731,60.25
4.306,warmup,4976.0,1088.0,5.4139,60.16
4.406,warmup,4976.0,1160.0,5.7722,60.16
4.506,warmup,4976.0,1128.0,5.6129,60.09
4.606,warmup,4976.0,1096.0,5.4537,60.12
4.707,warmup,4976.0,1168.0,5.8120,60.12
4.807,warmup,4976.0,1136.0,5.6527,60.16
4.907,warmup,4976.0,1104.0,5.4935,60.09
5.007,warmup,4976.0,1120.0,5.5731,60.09
5.107,warmup,4976.0,1152.0,5.7324,60.38
5.207,warmup,4976.0,1112.0,5.5333,60.19
5.307,warmup,4976.0,1088.0,5.4139,60.19
5.407,warmup,4976.0,1160.0,5.7722,60.12
5.508,warmup,4976.0,1128.0,5.6129,60.16
5.608,warmup,4976.0,1096.0,5.4537,60.09
5.708,warmup,4976.0,1168.0,5.8120,60.19
5.808,warmup,4976.0,1136.0,5.6527,60.12
5.908,warmup,4976.0,1104.0,5.4935,60.09
6.008,warmup,4976.0,1128.0,5.6129,60.06
6.109,warmup,4976.0,1152.0,5.7324,60.28
6.209,warmup,4976.0,1112.0,5.5333,60.28
6.309,warmup,4976.0,1088.0,5.4139,60.22
6.409,warmup,4976.0,1160.0,5.7722,60.22
6.509,warmup,4976.0,1128.0,5.6129,60.16
6.609,warmup,4976.0,1096.0,5.4537,60.19
6.709,warmup,4976.0,1160.0,5.7722,60.19
6.810,warmup,4976.0,1136.0,5.6527,60.09
6.910,warmup,4976.0,1104.0,5.4935,60.12
7.010,warmup,4976.0,1128.0,5.6129,60.25
7.110,warmup,4976.0,1152.0,5.7324,60.19
7.210,warmup,4976.0,1120.0,5.5731,60.25
7.310,warmup,4976.0,1088.0,5.4139,60.19
7.410,warmup,4976.0,1160.0,5.7722,60.06
7.510,warmup,4976.0,1128.0,5.6129,60.16
7.611,warmup,4976.0,1096.0,5.4537,60.12
7.711,warmup,4976.0,1160.0,5.7722,60.06
7.811,warmup,4976.0,1144.0,5.6925,60.22
7.911,warmup,4976.0,1104.0,5.4935,60.28
8.011,warmup,4976.0,1128.0,5.6129,60.25
8.111,warmup,4976.0,1152.0,5.7324,60.28
8.212,warmup,4976.0,1112.0,5.5333,60.25
8.312,warmup,4976.0,1088.0,5.4139,60.16
8.412,warmup,4976.0,1160.0,5.7722,60.09
8.512,warmup,4976.0,1128.0,5.6129,60.16
8.612,warmup,4976.0,1096.0,5.4537,60.06
8.712,warmup,4976.0,1168.0,5.8120,60.12
8.812,warmup,4976.0,1136.0,5.6527,60.34
8.912,warmup,4976.0,1104.0,5.4935,60.28
9.013,warmup,4976.0,1128.0,5.6129,60.22
9.113,warmup,4976.0,1152.0,5.7324,60.16
9.213,warmup,4976.0,1112.0,5.5333,60.19
9.313,warmup,4976.0,1088.0,5.4139,60.12
9.413,warmup,4976.0,1160.0,5.7722,60.16
9.513,warmup,4976.0,1128.0,5.6129,60.19
9.613,warmup,4976.0,1096.0,5.4537,60.16
9.713,warmup,4976.0,1168.0,5.8120,60.34
9.814,warmup,4976.0,1136.0,5.6527,60.34
9.914,warmup,4976.0,1104.0,5.4935,60.25
10.014,warmup,4976.0,1128.0,5.6129,60.22
10.114,warmup,4976.0,1152.0,5.7324,60.16
10.214,warmup,4976.0,1112.0,5.5333,60.19
10.314,warmup,4976.0,1088.0,5.4139,60.16
10.414,warmup,4976.0,1160.0,5.7722,60.12
10.515,warmup,4976.0,1128.0,5.6129,60.22
10.615,warmup,4976.0,1096.0,5.4537,60.31
10.715,warmup,4976.0,1168.0,5.8120,60.34
10.815,warmup,4976.0,1136.0,5.6527,60.19
10.915,warmup,4976.0,1104.0,5.4935,60.25
11.015,warmup,4976.0,1128.0,5.6129,60.19
11.115,warmup,4976.0,1152.0,5.7324,60.25
11.215,warmup,4976.0,1112.0,5.5333,60.09
11.316,warmup,4976.0,1080.0,5.3741,60.06
11.416,warmup,4976.0,1160.0,5.7722,60.09
11.516,warmup,4976.0,1128.0,5.6129,60.25
11.616,warmup,4976.0,1096.0,5.4537,60.31
11.716,warmup,4976.0,1160.0,5.7722,60.25
11.817,warmup,4976.0,1136.0,5.6527,60.22
11.917,warmup,4976.0,1104.0,5.4935,60.19
12.017,warmup,4976.0,1136.0,5.6527,60.12
12.117,warmup,4976.0,1152.0,5.7324,60.19
12.217,warmup,4976.0,1112.0,5.5333,60.19
12.317,warmup,4976.0,1088.0,5.4139,60.12
12.417,warmup,4976.0,1160.0,5.7722,60.34
12.517,warmup,4976.0,1128.0,5.6129,60.31
12.618,warmup,4976.0,1096.0,5.4537,60.19
12.718,warmup,4976.0,1168.0,5.8120,60.34
12.818,warmup,4976.0,1136.0,5.6527,60.19
12.918,warmup,4976.0,1104.0,5.4935,60.16
