t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4984.0,1048.0,5.2232,59.41
0.100,warmup,4984.0,1040.0,5.1834,59.38
0.200,warmup,4984.0,1008.0,5.0239,59.31
0.300,warmup,4984.0,984.0,4.9043,59.28
0.401,warmup,4984.0,984.0,4.9043,59.31
0.501,warmup,4984.0,976.0,4.8644,59.31
0.601,warmup,4984.0,976.0,4.8644,59.44
0.701,warmup,4984.0,976.0,4.8644,59.41
0.801,warmup,4984.0,976.0,4.8644,59.38
0.901,warmup,4984.0,976.0,4.8644,59.34
1.001,warmup,4984.0,976.0,4.8644,59.34
1.102,warmup,4984.0,976.0,4.8644,59.28
1.202,warmup,4984.0,976.0,4.8644,59.34
1.302,warmup,4984.0,976.0,4.8644,59.31
1.402,warmup,4984.0,976.0,4.8644,59.53
1.502,warmup,4984.0,976.0,4.8644,59.44
1.602,warmup,4984.0,976.0,4.8644,59.47
1.702,warmup,4984.0,976.0,4.8644,59.38
1.803,warmup,4984.0,976.0,4.8644,59.34
1.903,warmup,4984.0,976.0,4.8644,59.41
2.003,warmup,4984.0,976.0,4.8644,59.31
2.103,warmup,4984.0,976.0,4.8644,59.31
2.203,warmup,4984.0,976.0,4.8644,59.50
2.303,warmup,4984.0,976.0,4.8644,59.47
2.403,warmup,4984.0,976.0,4.8644,59.47
2.503,warmup,4984.0,984.0,4.9043,59.47
2.604,warmup,4984.0,984.0,4.9043,59.41
2.704,warmup,4984.0,984.0,4.9043,59.31
2.804,warmup,4984.0,984.0,4.9043,59.38
2.904,warmup,4984.0,984.0,4.9043,59.31
3.004,warmup,4984.0,984.0,4.9043,59.31
3.104,warmup,4984.0,984.0,4.9043,59.41
3.204,warmup,4984.0,984.0,4.9043,59.50
3.305,warmup,4984.0,984.0,4.9043,59.53
3.405,warmup,4984.0,984.0,4.9043,59.41
3.505,warmup,4984.0,984.0,4.9043,59.44
3.605,warmup,4984.0,984.0,4.9043,59.38
3.705,warmup,4984.0,984.0,4.9043,59.38
3.805,warmup,4984.0,984.0,4.9043,59.34
3.905,warmup,4984.0,984.0,4.9043,59.28
4.005,warmup,4984.0,984.0,4.9043,59.34
4.106,warmup,4984.0,984.0,4.9043,59.56
4.206,warmup,4984.0,984.0,4.9043,59.50
4.306,warmup,4984.0,984.0,4.9043,59.41
4.406,warmup,4984.0,984.0,4.9043,59.50
4.506,warmup,4984.0,984.0,4.9043,59.38
4.606,warmup,4984.0,984.0,4.9043,59.41
4.706,warmup,4984.0,984.0,4.9043,59.31
4.807,warmup,4984.0,984.0,4.9043,59.34
4.907,warmup,4984.0,984.0,4.9043,59.31
5.007,warmup,4984.0,984.0,4.9043,59.56
5.107,warmup,4984.0,984.0,4.9043,59.47
5.207,warmup,4984.0,984.0,4.9043,59.38
5.307,warmup,4984.0,984.0,4.9043,59.41
5.407,warmup,4984.0,976.0,4.8644,59.31
5.507,warmup,4984.0,976.0,4.8644,59.41
5.608,warmup,4984.0,976.0,4.8644,59.31
5.708,warmup,4984.0,976.0,4.8644,59.28
5.808,warmup,4984.0,976.0,4.8644,59.41
5.908,warmup,4984.0,984.0,4.9043,59.28
6.008,warmup,4984.0,976.0,4.8644,59.38
6.108,warmup,4984.0,976.0,4.8644,59.44
6.208,warmup,4984.0,976.0,4.8644,59.44
6.309,warmup,4984.0,976.0,4.8644,59.41
6.409,warmup,4984.0,976.0,4.8644,59.41
6.509,warmup,4984.0,976.0,4.8644,59.34
6.609,warmup,4984.0,976.0,4.8644,59.38
6.709,warmup,4984.0,976.0,4.8644,59.34
6.809,warmup,4984.0,976.0,4.8644,59.31
6.909,warmup,4984.0,976.0,4.8644,59.53
7.009,warmup,4984.0,976.0,4.8644,59.44
7.110,warmup,4984.0,976.0,4.8644,59.41
7.210,warmup,4984.0,976.0,4.8644,59.34
7.310,warmup,4984.0,976.0,4.8644,59.34
7.410,warmup,4984.0,976.0,4.8644,59.34
7.510,warmup,4984.0,976.0,4.8644,59.38
7.610,warmup,4984.0,976.0,4.8644,59.34
7.710,warmup,4984.0,976.0,4.8644,59.22
7.811,warmup,4984.0,976.0,4.8644,59.47
7.911,warmup,4984.0,976.0,4.8644,59.44
8.011,warmup,4984.0,976.0,4.8644,59.44
8.111,warmup,4984.0,976.0,4.8644,59.44
8.211,warmup,4984.0,976.0,4.8644,59.34
8.311,warmup,4984.0,976.0,4.8644,59.31
8.411,warmup,4984.0,976.0,4.8644,59.38
8.511,warmup,4984.0,976.0,4.8644,59.31
8.612,warmup,4984.0,976.0,4.8644,59.31
8.712,warmup,4984.0,976.0,4.8644,59.50
8.812,warmup,4984.0,976.0,4.8644,59.53
8.912,warmup,4984.0,976.0,4.8644,59.41
9.012,warmup,4984.0,976.0,4.8644,59.41
9.112,warmup,4984.0,984.0,4.9043,59.41
9.212,warmup,4984.0,984.0,4.9043,59.28
9.313,warmup,4984.0,984.0,4.9043,59.34
9.413,warmup,4984.0,984.0,4.9043,59.31
9.513,warmup,4984.0,984.0,4.9043,59.31
9.613,warmup,4984.0,984.0,4.9043,59.47
9.713,warmup,4984.0,984.0,4.9043,59.44
9.813,warmup,4984.0,984.0,4.9043,59.50
9.913,warmup,4984.0,984.0,4.9043,59.41
10.014,warmup,4984.0,984.0,4.9043,59.38
10.114,warmup,4984.0,984.0,4.9043,59.34
10.214,warmup,4984.0,984.0,4.9043,59.28
10.314,warmup,4984.0,984.0,4.9043,59.28
