t_rel_s,phase,mv,ma,watt,temp_max_c
0.000,warmup,4984.0,1048.0,5.2232,59.34
0.100,warmup,4984.0,1040.0,5.1834,59.50
0.200,warmup,4984.0,1016.0,5.0637,59.50
0.301,warmup,4984.0,984.0,4.9043,59.41
0.401,warmup,4984.0,984.0,4.9043,59.41
0.501,warmup,4984.0,984.0,4.9043,59.41
0.601,warmup,4984.0,976.0,4.8644,59.38
0.701,warmup,4984.0,976.0,4.8644,59.31
0.801,warmup,4984.0,976.0,4.8644,59.38
0.902,warmup,4984.0,976.0,4.8644,59.38
1.002,warmup,4984.0,976.0,4.8644,59.31
1.102,warmup,4984.0,976.0,4.8644,59.56
1.202,warmup,4984.0,968.0,4.8245,59.47
1.302,warmup,4984.0,968.0,4.8245,59.47
1.402,warmup,4984.0,968.0,4.8245,59.44
1.502,warmup,4984.0,968.0,4.8245,59.38
1.602,warmup,4984.0,968.0,4.8245,59.38
1.703,warmup,4984.0,968.0,4.8245,59.41
1.803,warmup,4984.0,968.0,4.8245,59.38
1.903,warmup,4984.0,968.0,4.8245,59.38
2.003,warmup,4984.0,968.0,4.8245,59.62
2.103,warmup,4984.0,968.0,4.8245,59.44
2.203,warmup,4984.0,968.0,4.8245,59.47
2.303,warmup,4984.0,968.0,4.8245,59.41
2.404,warmup,4984.0,968.0,4.8245,59.38
2.504,warmup,4984.0,968.0,4.8245,59.38
2.604,warmup,4984.0,968.0,4.8245,59.41
2.704,warmup,4984.0,976.0,4.8644,59.31
2.804,warmup,4984.0,976.0,4.8644,59.41
2.904,warmup,4984.0,976.0,4.8644,59.47
3.004,warmup,4984.0,976.0,4.8644,59.50
3.105,warmup,4984.0,976.0,4.8644,59.47
3.205,warmup,4984.0,976.0,4.8644,59.41
3.305,warmup,4984.0,976.0,4.8644,59.38
3.405,warmup,4984.0,976.0,4.8644,59.41
3.505,warmup,4984.0,976.0,4.8644,59.41
3.605,warmup,4984.0,976.0,4.8644,59.31
3.705,warmup,4984.0,976.0,4.8644,59.31
3.806,warmup,4984.0,976.0,4.8644,59.47
3.906,warmup,4984.0,976.0,4.8644,59.50
4.006,warmup,4984.0,976.0,4.8644,59.50
4.106,warmup,4984.0,976.0,4.8644,59.41
4.206,warmup,4984.0,976.0,4.8644,59.47
4.306,warmup,4984.0,976.0,4.8644,59.31
4.406,warmup,4984.0,976.0,4.8644,59.38
4.507,warmup,4984.0,976.0,4.8644,59.25
4.607,warmup,4984.0,976.0,4.8644,59.38
4.707,warmup,4984.0,976.0,4.8644,59.41
4.807,warmup,4984.0,976.0,4.8644,59.47
4.907,warmup,4984.0,976.0,4.8644,59.50
5.007,warmup,4984.0,976.0,4.8644,59.41
5.107,warmup,4984.0,976.0,4.8644,59.38
5.208,warmup,4984.0,984.0,4.9043,59.34
5.308,warmup,4984.0,984.0,4.9043,59.34
5.408,warmup,4984.0,976.0,4.8644,59.28
5.508,warmup,4984.0,976.0,4.8644,59.38
5.608,warmup,4984.0,984.0,4.9043,59.31
5.708,warmup,4984.0,976.0,4.8644,59.47
5.808,warmup,4984.0,976.0,4.8644,59.47
5.909,warmup,4984.0,976.0,4.8644,59.41
6.009,warmup,4984.0,976.0,4.8644,59.28
6.109,warmup,4984.0,976.0,4.8644,59.44
6.209,warmup,4984.0,976.0,4.8644,59.31
6.309,warmup,4984.0,976.0,4.8644,59.38
6.409,warmup,4984.0,976.0,4.8644,59.31
6.509,warmup,4984.0,976.0,4.8644,59.59
6.610,warmup,4984.0,976.0,4.8644,59.50
6.710,warmup,4984.0,976.0,4.8644,59.44
6.810,warmup,4984.0,976.0,4.8644,59.44
6.910,warmup,4984.0,976.0,4.8644,59.44
7.010,warmup,4984.0,976.0,4.8644,59.41
7.110,warmup,4984.0,976.0,4.8644,59.34
7.210,warmup,4984.0,976.0,4.8644,59.38
7.311,warmup,4984.0,976.0,4.8644,59.41
7.411,warmup,4984.0,976.0,4.8644,59.59
7.511,warmup,4984.0,968.0,4.8245,59.50
7.611,warmup,4984.0,976.0,4.8644,59.47
7.711,warmup,4984.0,968.0,4.8245,59.41
7.811,warmup,4984.0,968.0,4.8245,59.41
7.911,warmup,4984.0,968.0,4.8245,59.41
8.012,warmup,4984.0,968.0,4.8245,59.38
8.112,warmup,4984.0,968.0,4.8245,59.34
8.212,warmup,4984.0,976.0,4.8644,59.34
8.312,warmup,4984.0,976.0,4.8644,59.53
8.412,warmup,4984.0,976.0,4.8644,59.53
8.512,warmup,4984.0,976.0,4.8644,59.47
8.612,warmup,4984.0,976.0,4.8644,59.47
8.712,warmup,4984.0,976.0,4.8644,59.41
8.813,warmup,4984.0,976.0,4.8644,59.41
8.913,warmup,4984.0,976.0,4.8644,59.38
9.013,warmup,4984.0,976.0,4.8644,59.41
9.113,warmup,4984.0,976.0,4.8644,59.34
9.213,warmup,4984.0,976.0,4.8644,59.34
9.313,warmup,4984.0,976.0,4.8644,59.44
9.413,warmup,4984.0,976.0,4.8644,59.53
9.514,warmup,4984.0,976.0,4.8644,59.38
9.614,warmup,4984.0,976.0,4.8644,59.41
9.714,warmup,4984.0,976.0,4.8644,59.41
9.814,warmup,4984.0,976.0,4.8644,59.38
9.914,warmup,4984.0,976.0,4.8644,59.41
10.014,warmup,4984.0,976.0,4.8644,59.38
